Region;Regional_Unit;Museum;Month;Year;Visitors
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;3;2021;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;4;2021;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;5;2021;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;6;2021;50
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;7;2021;30
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;8;2021;78
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;9;2021;73
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;10;2021;74
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;11;2021;80
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;12;2021;230
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;1;2022;20
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;2;2022;65
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;3;2022;130
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;4;2022;134
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;5;2022;150
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;6;2022;136
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;7;2022;117
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;8;2022;94
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;9;2022;70
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;10;2022;215
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;11;2022;275
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;12;2022;115
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;1;2023;218
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;2;2023;217
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;3;2023;510
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;4;2023;205
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;5;2023;400
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;6;2023;221
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;7;2023;70
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;8;2023;74
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;9;2023;49
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;10;2023;171
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;11;2023;335
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;12;2023;324
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;1;2024;200
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;2;2024;178
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;3;2024;140
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;4;2024;263
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;5;2024;191
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;6;2024;109
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;7;2024;108
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;8;2024;41
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;9;2024;93
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;10;2024;118
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;11;2024;75
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;12;2024;106
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;1;2025;105
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;2;2025;140
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;3;2025;375
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;4;2025;154
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;5;2025;319
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;6;2025;45
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;7;2025;31
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;8;2025;45
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;9;2025;37
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;10;2025;57
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;11;2025;61
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Αρχαιολογικό Μουσείο Αγρινίου;12;2025;136
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;1;2022;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;2;2022;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;3;2022;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;4;2022;0
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;5;2022;1036
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;6;2022;827
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;7;2022;379
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;8;2022;811
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;9;2022;348
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;10;2022;1077
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;11;2022;593
Δυτικής Ελλάδας;Αιτωλοακαρνανίας;Ξενοκράτειο Αρ.Μουσείο Ιεράς Πόλεως Μεσολογγίου;12;2022;342
