Museum,Region,Regional_Unit,Place_ID,Google_Maps_URL,Name_Found,Address,Rating,Ratings_Total
Αρχαιολογικό Μουσείο Μυτιλήνης (Νέο κτήριο),Βορείου Αιγαίου,Λέσβου,ChIJXzCkiKdnuhQRwWeij1uqI3s,https://www.google.com/maps/place/?q=place_id:ChIJXzCkiKdnuhQRwWeij1uqI3s,Archaeological Museum of Mytilene,"Αρχαιολογικό Μουσείο Μυτιλήνης, Skra 26, Mitilini 811 00, Greece",4.5,598
Αρχαιολογικό Μουσείο Μυτιλήνης,Βορείου Αιγαίου,Λέσβου,ChIJXzCkiKdnuhQRwWeij1uqI3s,https://www.google.com/maps/place/?q=place_id:ChIJXzCkiKdnuhQRwWeij1uqI3s,Archaeological Museum of Mytilene,"Αρχαιολογικό Μουσείο Μυτιλήνης, Skra 26, Mitilini 811 00, Greece",4.5,598
Αρχαιολογικό Μουσείο Λευκάδας,Ιονίων Νήσων,Λευκάδας,ChIJTxU9nv9JXBMRu9vmfm7P0pk,https://www.google.com/maps/place/?q=place_id:ChIJTxU9nv9JXBMRu9vmfm7P0pk,Archaeological Museum of Lefkada,"Aggelou Sikelianou, Svoronou ke, Lefkada 311 00, Greece",4.4,715
Γιαννοπούλειο Αρχαιολογικό Μουσείο Αλμυρού,Θεσσαλίας,Μαγνησίας,ChIJMyE-IPhapxQRI-m0sgL69-I,https://www.google.com/maps/place/?q=place_id:ChIJMyE-IPhapxQRI-m0sgL69-I,Archaeological Museum of Almyros,"Athinon 50, Almiros 371 00, Greece",4.5,41
Αθανασάκειο Αρχαιολογικό Μουσείο Βόλου,Θεσσαλίας,Μαγνησίας,ChIJVRuRbYRspxQRwLYkyKzekxQ,https://www.google.com/maps/place/?q=place_id:ChIJVRuRbYRspxQRwLYkyKzekxQ,Athanasakio Archaeological Museum of Volos,"Athanasaki 1, Volos 382 22, Greece",4.6,1070
Αρχαιολογικό Μουσείο Αρχαίας Μεσσήνης (χ. Μαυρομάτι),Πελοποννήσου,Μεσσηνίας,ChIJ_bvNbqWrYRMRqLIkewh60Uw,https://www.google.com/maps/place/?q=place_id:ChIJ_bvNbqWrYRMRqLIkewh60Uw,Archaeological Museum of Ancient Messene,"Ιθώμη, Greece",4.5,740
Μπενάκειο Αρχαιολογικό Μουσείο Καλαμάτας,Πελοποννήσου,Μεσσηνίας,ChIJDXVutJawYRMR3YiZWVU-S9I,https://www.google.com/maps/place/?q=place_id:ChIJDXVutJawYRMR3YiZWVU-S9I,Archaeological Museum of Messinia,"Agiou Ioannou 3, Kalamata 241 00, Greece",4.6,745
Αρχοντικό Ολυμπιονίκη Κ. Τσικλητήρα στην Πύλο,Πελοποννήσου,Μεσσηνίας,ChIJZVg92gHPnxQRUJpZBsiQpgQ,https://www.google.com/maps/place/?q=place_id:ChIJZVg92gHPnxQRUJpZBsiQpgQ,Πύργος Τσικαλιώτη,"Epar.Od. Astrous - Leonidiou, Leonidio 223 00, Greece",4.6,74
Μουσείο Πασά στο Φρούριο Πύλου,Πελοποννήσου,Μεσσηνίας,ChIJsyJFbfNyYRMRcfQbiMrzLFI,https://www.google.com/maps/place/?q=place_id:ChIJsyJFbfNyYRMRcfQbiMrzLFI,Archaeological Museum of Pylos,"EO Pilou Kalamatas, Pilos 240 01, Greece",4.7,404
Αρχαιολογικό Μουσείο Μεσσηνίας,Πελοποννήσου,Μεσσηνίας,ChIJDXVutJawYRMR3YiZWVU-S9I,https://www.google.com/maps/place/?q=place_id:ChIJDXVutJawYRMR3YiZWVU-S9I,Archaeological Museum of Messinia,"Agiou Ioannou 3, Kalamata 241 00, Greece",4.6,745
Αρχαιολογικό Μουσείο Πύλου,Πελοποννήσου,Μεσσηνίας,ChIJsyJFbfNyYRMRcfQbiMrzLFI,https://www.google.com/maps/place/?q=place_id:ChIJsyJFbfNyYRMRcfQbiMrzLFI,Archaeological Museum of Pylos,"EO Pilou Kalamatas, Pilos 240 01, Greece",4.7,404
Πύργος Μουρτζίνου (Καρδαμύλη),Πελοποννήσου,Μεσσηνίας,ChIJWXIu-3y_YRMRyeB9cfhWpLY,https://www.google.com/maps/place/?q=place_id:ChIJWXIu-3y_YRMRyeB9cfhWpLY,Mourtzinos Tower,"Lefktro 240 22, Greece",4.6,1189
Αρχαιολογικό Μουσείο Χώρας,Πελοποννήσου,Μεσσηνίας,ChIJHSeFlvAOYRMRnU6eOBkjCMA,https://www.google.com/maps/place/?q=place_id:ChIJHSeFlvAOYRMRnU6eOBkjCMA,Archaeological Museum of Chora,"Chora Χώρα Τριφυλίας, Kiparissia 245 00, Greece",4.1,308
Αρχαιολογικό Μουσείο Αβδήρων,Ανατολικής Μακεδονίας – Θράκης,Ξάνθης,ChIJX1Owx3V_rhQRb74fPlpkOpw,https://www.google.com/maps/place/?q=place_id:ChIJX1Owx3V_rhQRb74fPlpkOpw,Archaeological Museum of Abdera,"Abdera 670 61, Greece",4.7,381
Αρχαιολογικό Μουσείο Πέλλας,Κεντρικής Μακεδονίας,Πέλλας,ChIJ2w3x8qrQVxMRUprNL6fZ_-Q,https://www.google.com/maps/place/?q=place_id:ChIJ2w3x8qrQVxMRUprNL6fZ_-Q,Archaeological Museum of Pella,"Pella 580 05, Greece",4.7,2777
